id,created_at,author_id,text
1904799074248765455,2025-03-26 07:34:23+00:00,1703773728,"The rupiah plunge highlights distrust by the market, who may see the selection of Thaksin Shinawatra as one of advisors of Indonesia's Danantara wealth fund, as “not reflecting professionalism”.  Thaksin was sentenced to eight years in prison for corruption and abuse of power."
1904796181831491767,2025-03-26 07:22:53+00:00,1256405851,"@marvelle_danny @Rudiyanto_zh You Sir earned a follow 👍🫡

Maju Bersama DanantARA 😂"
1904794738735136869,2025-03-26 07:17:09+00:00,1883291427603615744,"I hope I'm wrong, but the people behind Danantara will probably make it successful, cash out, stash the profits offshore, and leave it to collapse. https://t.co/2HvumCaNfE"
1904786615341396364,2025-03-26 06:44:52+00:00,1695135025686368256,"I’ve had numerous conversations about ""what if the country transferred a few percent of its assets to crypto?"" Or 
""what if Danantara invested to buy 10% of its asset to Bitcoin just in case"" 
Here we go, talking economy and algorithms with Teresa 🇮🇩 https://t.co/vc2iB9cafK"
1904778217413550207,2025-03-26 06:11:30+00:00,1255359229201985537,the fact that danantara’s still rolling while every sane person’s screaming against it just proves these pejabruts don’t give a single damn. they’re straight up hurling shit at our faces and laughing cause they know we’re stuck eating it https://t.co/Nsn0Mfdx1L
1904756478394630454,2025-03-26 04:45:07+00:00,295168379,The Indonesia Stock Exchange (IDX) confirmed the transfer of Danantara shares occurred outside of its mechanism but complied with regulations. https://t.co/WxCXDWHXU7
1904754689549472101,2025-03-26 04:38:01+00:00,1898245707125190656,"How does Danantara justify appointing a figure with a controversial legal background, and what does this signal about its governance standards?"
1904753585402839200,2025-03-26 04:33:38+00:00,1348152467494629376,"The month-old SWF is looking at SOE dividends of $8 bill/year, 60% &gt;SOE dividends to the  govt last year, says the CIO. All  Indonesia’s 65 SOEs are to be consolidated under Danantara, which gets 99%  of their shares, with 1%  staying with the SOE Ministry
https://t.co/wHDn1mpkQ1"
1904752175659491577,2025-03-26 04:28:01+00:00,407083720,"""The slump in Indonesian stocks, driven by concerns over the Danantara sovereign wealth fund’s governance, is seen as overdone, and foreign investor inflows could push the benchmark index to 7,170 by year-end, according to Bahana Sekuritas."" https://t.co/nekgFwgmaT"
1904750056474898821,2025-03-26 04:19:36+00:00,919830142825897984,Indonesia's Danantara targets $8bn in dividends from state-owned companies https://t.co/9VQLyNZ03U via @NikkeiAsia
1904742149633302912,2025-03-26 03:48:11+00:00,1588802761046441984,Indonesia's Danantara targets $8bn in dividends from state-owned companies https://t.co/Si2Uor5npf
1904737485457928673,2025-03-26 03:29:39+00:00,1252586215443853315,"Many of them compared to Danantara supervision by foreigner.
But hi, this is the actual agenda. 🧍‍♀️ https://t.co/VKgGqJxY8G"
1904733775042621808,2025-03-26 03:14:54+00:00,1856468264857284609,"Ray Dalio, a China investment expert, will advise Indonesia’s new $900 billion sovereign wealth fund

 https://t.co/KJdKucdCn4

via Fortune https://t.co/HToSJfSkIa"
1904730778854187315,2025-03-26 03:03:00+00:00,21507368,"China has invested in Indonesia’s infrastructure and energy sectors for years, but Danantara, the new sovereign wealth fund, offers five key advantages that enhance investment security and appeal. Muhammad Zulfikar Rakhmat highlights these benefits. https://t.co/uPJpkdCLGk"
1904724924901843311,2025-03-26 02:39:44+00:00,1597884116544163840,Day 1 Danantara doing good work👏 https://t.co/tJaEqGro2F https://t.co/UOnRe6qPpa
1904724440346472593,2025-03-26 02:37:49+00:00,1509144342480498691,"Easy, my friend...
DANANTARA is Cooking !!!"
1904718993547792760,2025-03-26 02:16:10+00:00,1338057608,It's not BUMN anymore. It's now BUMD (Badan Usaha Milik Danantara)
1904710272956457244,2025-03-26 01:41:31+00:00,107369628,"We literally are about to import ""koruptor"" as well via Danantara, Saar. https://t.co/TNhZjUEk4v"
1904704566534295897,2025-03-26 01:18:51+00:00,436429668,Indonesia's Danantara targets $8bn in dividends from state-owned companies https://t.co/GD0bmDgWI6
1904692527887950079,2025-03-26 00:31:00+00:00,1479818008566501379,"""let's support the queen"" more like the flop queen

non-main vocalist? not ssw or lily.

not on begin again? not ssw or lily.

cb berbudget danantara dgn outcome selevel food estate doang? neither nmixx's nor ssw1/2's for sure."
1904670340414136399,2025-03-25 23:02:50+00:00,1328656809817636865,Who's going to be Danantara's Jho Low? Indonesia Official #1 and #2?
1904634154752631048,2025-03-25 20:39:03+00:00,79986709,Danantara dibelain Nurdin Halid is another reason you should against it. https://t.co/ck4h4UaHL6
1904622496625938654,2025-03-25 19:52:44+00:00,1803691586016124928,@anggaandinata @Danantara_ri you need buy $SOL $ETH $BTC NOW ... Lets go 🦅
1904605080885879021,2025-03-25 18:43:31+00:00,1617081276770709506,"bahkan IHSG ANJLOK DRASTIS, and even one of the newly appointed DANANTARA members is actually a corrupt fugitive who has been on the run for 15 years, yet somehow, he magically managed to secure a position 🤠"
1904603733230776675,2025-03-25 18:38:10+00:00,1584103341872717824,"guys pls tell me how do u save ur money??? 
i have mandiri but it's part of danantara, im kinda worry huhu
i have bca but i need two bank accounts cus one is for saving, one is for spending heheh
and also, if i buy real gold like antam ubs i don't know where to save :("
1904598245130854731,2025-03-25 18:16:22+00:00,1189845201466122241,"Advisory Board Members of Indonesian Hedge Fund ""Danantara"" : Ray Dalio, Jeffrey Sachs, Thaksin Shinawatra, etc. Jeffrey Sachs is implementing his infamous shock therapy in 🇮🇩 while cosplaying as western intellectual with integrity who opposes U.S Hegemony. @RT_com @CGTNOfficial https://t.co/nz4oe45vbv"
1904573160546328769,2025-03-25 16:36:41+00:00,493314466,@redstreamnet Because @prabowo is stupid president. Back to new orde like soeharto 1998. Military double job for sipil. Danantara mega corruption project.
1904559167786086519,2025-03-25 15:41:05+00:00,1898732980623024128,@redstreamnet Its chaos now... A lot of local media has been forced to hide it. And govenrment buzzer says everything is fine. The reality is big no.. the government is corrupted. Even big economy project called Danantara. Thaksin the problematic one  has being invited in that project. https://t.co/ezwCSmIPvM
1904556804320657673,2025-03-25 15:31:41+00:00,1845284643131830272,"Ray Dalio, Jeffrey Sachs Tapped To Advise Indonesian Sovereign Wealth Fund During Economic Fallout

https://t.co/FqFBw0J94j

Indonesia's new sovereign wealth fund, Danantara, has appointed Ray Dalio and Jeffrey Sachs as advisors amid concerns about governance. The fund aims to"
1904556451898753169,2025-03-25 15:30:17+00:00,1208199846,"@redstreamnet - Budget cut on important sectors
- Free lunch for around 50 million+ students
- Danantara, an SWF managed by corrupt individuals
- Plummeting economy
- Stock index monitored by police, making investors run &amp; index freefalling
- Pers intimidation
- Police &amp; military brutality https://t.co/m7QAOKkyIC"
1904553453382181282,2025-03-25 15:18:22+00:00,77518513,They are actively trying to turn Danantara into 1MDB aren’t they
1904551715145384255,2025-03-25 15:11:28+00:00,523978437,"WTB WTS JUAL BELI PREMIUM

CANVA NETFLIX VIDIO PLATINUM WETV VIU IQIYI YOUTUBE DISNEY HOTSTAR CAPCUT VSCO PRIME VIDEO HBO MAX APPLE MUSIC LIGHTROOM PICSART SPOTIFY LOKLOK CHATGPT SCRIBD RCTI vision GRAMMARLY DLL

WhatsApp: https://t.co/KAS3iCo646
#zonauang #TimnasDay danantara https://t.co/U8hDyGX9Iv"
1904545667634143248,2025-03-25 14:47:26+00:00,110922804,"New $900 billion sovereign wealth fund #Danantara represents a major policy pivot: rather than passive dividend collection, the fund seeks active investment in strategic sectors critical to #Indonesia’s future.

https://t.co/87Gjvtqk9l"
1904543629433250068,2025-03-25 14:39:20+00:00,1868872199379337217,"WTB WTS JUAL BELI PREMIUM

CANVA NETFLIX VIDIO PLATINUM WETV VIU IQIYI YOUTUBE DISNEY HOTSTAR CAPCUT VSCO PRIME VIDEO HBO MAX APPLE MUSIC LIGHTROOM PICSART SPOTIFY LOKLOK CHATGPT SCRIBD RCTI vision GRAMMARLY DLL

WhatsApp: https://t.co/vnMtmocRNS
#zonauang #TimnasDay danantara https://t.co/PLZenZlHkE"
